attempt_id,participant_code,input_mode,role_label,status,quality_status,summary_quality_status,feature_quality,device_class,event_count,paired_key_count,hold_mean_ms,down_down_mean_ms,up_down_mean_ms,raw_text_length,paste_count,summary_paste_count,paste_detected,fixed_prompt_match
eb5c9b33-7c7f-4fbd-9886-c9bb47b85c9c,P001,fixed,genuine,submitted,usable,usable,high,desktop,917.0,157,109.97006369358424,95.6423076924223,-14.113461537812094,54.0,0,0.0,False,1.0
d60e4012-fde9-4422-8798-b038385cddbb,P001,fixed,genuine,submitted,usable,usable,high,desktop,635.0,108,120.64074074090631,85.57289719609457,-35.20093457971776,44.0,0,0.0,False,1.0
8fe1db6c-e174-4fff-ae88-21b12f560ad2,P001,fixed,genuine,submitted,usable,usable,high,desktop,836.0,142,113.44225352246988,109.92269503541873,-3.6106382993095383,53.0,0,0.0,False,1.0
2bd5d51b-3dab-4f23-b677-457230665211,P001,fixed,genuine,submitted,usable,usable,high,desktop,2318.0,416,119.40649038366973,161.6313253012048,42.220240964803345,176.0,0,0.0,False,1.0
328be900-5138-4ffa-9b04-a494febfa306,P001,fixed,genuine,submitted,low_quality,low_quality,high,desktop,2804.0,490,115.82285714289367,125.43619631904278,9.617791411030725,197.0,0,0.0,False,0.0
636aa20f-cdce-43aa-8586-cd1cbcdd771e,P001,free,genuine,submitted,usable,usable,high,desktop,4212.0,732,115.06475409902022,165.39644322847047,50.31641586803705,240.0,0,0.0,False,
7d2f8995-389e-42cb-9a72-25b8d7cb6b20,P001,free,genuine,submitted,usable,usable,high,desktop,4086.0,689,113.32946298949432,239.37020348835478,126.03982558175055,241.0,0,0.0,False,
b6ff9ec1-7763-41c2-956c-8ef64017f828,M001,fixed,genuine,submitted,usable,usable,high,desktop,846.0,146,151.06643835485784,130.00758620706097,-21.359310343347595,54.0,0,0.0,False,1.0
669569e3-374d-45ed-aac1-5b881f82eccb,M001,fixed,genuine,submitted,usable,usable,high,desktop,631.0,106,146.99622641756852,114.63047618979499,-32.65714286054886,44.0,0,0.0,False,1.0
604805e1-d15c-4286-9af8-efc4b7e8acbe,M001,fixed,genuine,submitted,usable,usable,high,desktop,764.0,128,147.5718749985099,109.11181102399753,-38.416535431005855,53.0,0,0.0,False,1.0
fb85bc68-e20d-4876-a690-97dd7704cf17,P001,free,genuine,submitted,usable,usable,high,desktop,2342.0,402,111.22587064605462,165.07581047383033,53.84688279374566,146.0,0,0.0,False,
a0922f95-3798-48b2-b068-ff3bcdc4433a,M001,fixed,genuine,submitted,low_quality,low_quality,high,desktop,2267.0,407,150.33022112752678,197.16157635444492,46.92758620959754,180.0,0,0.0,False,0.0
09b35504-d51b-457f-a28d-6e7dcde662be,M001,fixed,genuine,submitted,low_quality,low_quality,high,desktop,2772.0,488,152.06045081942773,155.806365503178,3.8242299796620585,198.0,0,0.0,False,0.0
539493b3-39a1-420c-b6be-36edc41963f8,A001,fixed,genuine,submitted,usable,usable,high,desktop,838.0,141,113.20496453862664,105.25571428579944,-8.220714285331116,54.0,0,0.0,False,1.0
993d0bed-ba6f-4341-813c-94e524a31cab,A001,fixed,genuine,submitted,usable,usable,high,desktop,670.0,112,111.13214285911182,97.81981981981981,-13.644144146023457,44.0,0,0.0,False,1.0
7d7ad7af-ba89-4551-9afd-81112ff04c01,M001,free,genuine,submitted,usable,usable,high,desktop,1987.0,354,2237.470056499128,215.28696883839183,-2028.0359773389341,97.0,0,0.0,False,
9a16ae63-070c-4ee8-a4a2-3261851d210a,A001,fixed,genuine,submitted,usable,usable,high,desktop,777.0,130,108.08153846057559,95.54806201564247,-12.795348836238977,53.0,0,0.0,False,1.0
067b91cd-e0a3-4156-8c62-4e2294cc410b,A001,fixed,genuine,submitted,usable,usable,high,desktop,2236.0,400,135.26625000029804,144.57543859655098,9.142105262903922,176.0,0,0.0,False,1.0
c2c61e58-62d4-4fa3-a109-5526ee9a498f,M001,free,genuine,submitted,usable,usable,high,desktop,1568.0,268,156.924253736859,240.57940074924227,83.74644194202916,90.0,0,0.0,False,
1e47552f-2db1-43af-9dce-fcb9f4fb5582,A001,fixed,genuine,submitted,low_quality,low_quality,high,desktop,2807.0,488,118.21782786863264,118.7379876796837,0.45236139651193474,197.0,0,0.0,False,0.0
2ea3a747-6059-4d9d-aa05-fbf3646f75f8,A001,free,genuine,submitted,usable,usable,high,desktop,2332.0,428,113.17149532662933,232.0060889929603,118.8941451995797,99.0,0,0.0,False,
4090e424-3e35-4af3-8c99-2a2b86bd5489,M001,free,genuine,submitted,low_quality,low_quality,high,desktop,1222.0,206,153.65291262020193,315.44439024401873,161.88487804982714,73.0,0,0.0,False,
08e8fffb-753b-4680-adc0-5ca19131456b,A001,free,genuine,submitted,usable,usable,high,desktop,2131.0,374,114.04171122977131,119.65978552277222,5.515817694545651,121.0,0,0.0,False,
07c67473-bcfe-4d77-af96-298f0da5458c,A001,free,genuine,submitted,usable,usable,high,desktop,1552.0,269,115.49442379171082,145.93246268658942,30.285074626999076,82.0,0,0.0,False,
9ffea7df-c9be-4400-9d44-163441913337,M001_1,fixed,genuine,submitted,usable,usable,medium,mobile,638.0,139,16.776978417266186,181.90579710144934,165.17391304347825,54.0,0,0.0,False,1.0
bd93a2ce-1a3f-4166-8443-44cece9446fb,M001_1,fixed,genuine,submitted,low_quality,low_quality,medium,mobile,474.0,102,21.813725490196312,184.54455445544554,162.68316831683146,43.0,0,0.0,False,0.0
54a6b0fb-b7e2-40c8-a490-46f3eea51a7e,M001_1,fixed,genuine,submitted,low_quality,low_quality,medium,mobile,633.0,138,18.500000000000025,187.6131386861315,169.0583941605839,52.0,0,0.0,False,0.0
ed27ed48-caac-40f4-8ded-401b3c495705,M001_1,fixed,genuine,submitted,usable,usable,medium,mobile,1770.0,398,62.67839195979864,290.43324937027705,227.64483627204066,176.0,0,0.0,False,1.0
8803d5f2-a5ab-4031-a57f-1ab593a42dbf,M001_1,fixed,genuine,submitted,low_quality,low_quality,medium,mobile,2044.0,456,36.73464912280733,245.5956043956044,208.83956043956013,197.0,0,0.0,False,0.0
27cd0d13-8c83-4433-8413-3dca47b7fd62,A001_1,fixed,genuine,submitted,usable,usable,medium,mobile,522.0,124,3.845967741262572,121.48780487804878,117.62764227705269,54.0,0,0.0,False,1.0
875aecd2-3379-4618-9cd5-1e2f339c3afc,M001_1,free,genuine,submitted,usable,usable,medium,mobile,1231.0,272,27.113970588235937,258.8191881918819,231.64575645756392,82.0,0,0.0,False,
cfc5e96c-9a2e-426a-bbeb-38559a9af346,A001_1,fixed,genuine,submitted,usable,usable,medium,mobile,534.0,127,3.8354330704672597,141.05555555555554,137.204761905093,44.0,0,0.0,False,1.0
3169c77f-e6c8-4749-b8c4-b5ee5e44594c,A001_1,fixed,genuine,submitted,usable,usable,medium,mobile,527.0,125,3.8823999998569487,185.20887096779,181.31209677433776,53.0,0,0.0,False,1.0
63b0f298-c409-42ce-9450-f0a8592bd56b,A001_1,fixed,genuine,submitted,low_quality,low_quality,medium,mobile,1630.0,385,3.855584415870816,197.20729166665114,193.34791666637952,176.0,0,0.0,False,0.0
55ecc753-632f-479d-b07b-e5af7025b191,M001_1,free,genuine,submitted,usable,usable,medium,mobile,934.0,201,18.601990049750086,247.63000000000028,229.01500000000115,89.0,0,0.0,False,
1778249560274-0.19964821182028913,TEST,fixed,genuine,in_progress,,,,desktop,,0,0.0,0.0,0.0,,0,,False,
